course_id,course_name,route_type,route_type_label,GPS아트,mood_tags_derived,environment,walk_network_match_ratio,surface_known_ratio,lit_known_ratio,기분태그_있음
RM_LOOP_V19_초급_01_RM_STREAM_010,도봉구 초급 완전순환런,loop,🔁 완전 순환형,False,"힐링,스트레스해소,답답함해소,개방감,활력,자연,기분전환","하천·수변·도심, 비교적 평탄하고 탁 트인 러닝 환경",100.0,100.0,4.4,True
RM_LOOP_V19_초급_02_RM_STREAM_011,노원구|도봉구 초급 완전순환런,loop,🔁 완전 순환형,False,"힐링,스트레스해소,답답함해소,개방감,활력,자연,기분전환","하천·수변·도심, 비교적 평탄하고 탁 트인 러닝 환경",100.0,100.0,60.0,True
RM_LOOP_V19_중급_01_RM_STREAM_010,도봉구 중급 완전순환런,loop,🔁 완전 순환형,False,"힐링,스트레스해소,답답함해소,개방감,활력,자연,기분전환","하천·수변·도심, 비교적 평탄하고 탁 트인 러닝 환경",100.0,100.0,4.4,True
RM_LOOP_V19_중급_02_RM_STREAM_011,노원구|도봉구 중급 완전순환런,loop,🔁 완전 순환형,False,"힐링,스트레스해소,답답함해소,개방감,활력,자연,기분전환","하천·수변·도심, 비교적 평탄하고 탁 트인 러닝 환경",100.0,100.0,60.0,True
RM_LOOP_V19_고급_01_RM_STREAM_010,도봉구 고급 완전순환런,loop,🔁 완전 순환형,False,"힐링,스트레스해소,답답함해소,개방감,활력,자연,기분전환","하천·수변·도심, 비교적 평탄하고 탁 트인 러닝 환경",100.0,100.0,4.4,True
RM_LOOP_V19_고급_02_RM_STREAM_011,노원구|도봉구 고급 완전순환런,loop,🔁 완전 순환형,False,"힐링,스트레스해소,답답함해소,개방감,활력,자연,기분전환","하천·수변·도심, 비교적 평탄하고 탁 트인 러닝 환경",100.0,100.0,60.0,True
RM_LOOP_V19_전문가_01_RM_STREAM_010,도봉구 전문가 완전순환런,loop,🔁 완전 순환형,False,"힐링,스트레스해소,답답함해소,개방감,활력,자연,기분전환","하천·수변·도심, 비교적 평탄하고 탁 트인 러닝 환경",100.0,100.0,4.4,True
RM_LOOP_V19_전문가_02_RM_STREAM_011,노원구|도봉구 전문가 완전순환런,loop,🔁 완전 순환형,False,"힐링,스트레스해소,답답함해소,개방감,활력,자연,기분전환","하천·수변·도심, 비교적 평탄하고 탁 트인 러닝 환경",100.0,100.0,60.0,True
RM_GPX_V21_01,광화문 댕댕런,loop,완전 순환형 + GPS 아트,True,"러닝,GPX,GPS아트,활력,기분전환,성취도전,개방감,야경",도심·광장·역사문화 경관,100.0,88.2,29.3,True
RM_GPX_V21_02,남산 하트런,loop,완전 순환형 + GPS 아트,True,"러닝,GPX,GPS아트,힐링,야경,성취도전,기분전환,자연","남산 도심·공원·전망, 업다운",100.0,94.6,37.8,True
RM_GPX_V21_03,도림천 한바퀴,loop,🔁 완전 순환형,False,"힐링,스트레스해소,답답함해소,개방감,활력,자연,기분전환","도림천 수변·하천길, 평탄하고 개방적인 러닝 환경",,,,True
RM_GPX_V21_04,서울숲 식빵런,loop,완전 순환형 + GPS 아트,True,"러닝,GPX,GPS아트,힐링,자연,조용함,우울위로,기분전환","서울숲 녹지·공원, 차분한 환경",100.0,18.6,10.2,True
RM_GPX_V21_05,송파 닥스훈트런,loop,완전 순환형 + GPS 아트,True,"러닝,GPX,GPS아트,활력,스트레스해소,기분전환,개방감","송파 도심·생활권, 활기 있는 러닝 환경",100.0,61.7,8.5,True
RM_GPX_V21_06,양재시민의 숲 피자코스,loop,완전 순환형 + GPS 아트,True,"러닝,GPX,GPS아트,힐링,자연,조용함,스트레스해소,기분전환",양재시민의숲 녹지·공원,100.0,22.5,10.0,True
RM_GPX_V21_07,어린이대공원 붕어빵런,loop,완전 순환형 + GPS 아트,True,"러닝,GPX,GPS아트,힐링,활력,자연,기분전환,외로움위로",어린이대공원 녹지·공원,47.6,0.0,0.0,True
RM_GPX_V21_08,여의도 고구마 코스,loop,🔁 완전 순환형,False,"활력,스트레스해소,답답함해소,개방감,기분전환,야경","여의도 도심·한강권, 개방감과 활기가 있는 순환 환경",,,,True
RM_GPX_V21_10,여의도공원 순환코스,loop,🔁 완전 순환형,False,"힐링,스트레스해소,활력,자연,개방감,기분전환","여의도공원 녹지·평지, 가볍게 달리기 좋은 공원 환경",,,,True
RM_GPX_NEW_001,평화의공원 순환,loop,완전 순환형,False,"힐링,스트레스해소,답답함해소,자연,개방감,조용함","대형 공원, 잔디·수변, 개방감",100.0,12.9,0.0,True
RM_GPX_NEW_002,하늘공원 순환,loop,완전 순환형,False,"스트레스해소,답답함해소,자연,개방감,성취도전,야경","하늘공원, 억새·전망, 탁 트인 조망",100.0,0.0,0.0,True
RM_GPX_NEW_003,노을공원 순환,loop,완전 순환형,False,"힐링,스트레스해소,자연,개방감,야경,성취도전","노을공원, 넓은 녹지, 석양·전망",100.0,0.0,0.0,True
RM_GPX_NEW_004,월드컵공원 통합 순환,loop,완전 순환형,False,"스트레스해소,자연,개방감,활력,성취도전,힐링","평화·하늘·노을공원 연계, 넓은 녹지",100.0,1.2,0.0,True
RM_GPX_NEW_005,서울식물원 순환,loop,완전 순환형,False,"힐링,우울위로,외로움위로,조용함,자연,기분전환","식물원·호수·녹지, 차분한 산책형 환경",100.0,73.5,19.3,True
RM_GPX_NEW_006,선유도·한강 순환,loop,완전 순환형,False,"스트레스해소,답답함해소,개방감,자연,힐링,야경","선유도공원과 한강 수변, 탁 트인 강변",100.0,77.4,25.3,True
RM_GPX_NEW_007,노들섬·한강 순환,loop,완전 순환형,False,"스트레스해소,답답함해소,개방감,활력,야경,기분전환","노들섬과 한강 수변, 도심·강변 조망",100.0,64.2,2.9,True
RM_GPX_NEW_008,경춘선숲길 순환,loop,완전 순환형,False,"힐링,조용함,자연,스트레스해소,외로움위로,기분전환","선형 숲길·철길공원, 나무가 많은 녹지",100.0,2.4,100.0,True
RM_GPX_NEW_009,서리풀공원 순환,loop,완전 순환형,False,"힐링,자연,조용함,성취도전,스트레스해소","도심 숲과 공원, 비교적 한적한 녹지",100.0,9.1,0.0,True
RM_GPX_NEW_010,안산자락길 순환,loop,완전 순환형,False,"힐링,자연,조용함,성취도전,스트레스해소,우울위로","안산 자락 숲길, 자연·전망 중심",100.0,34.2,10.3,True
RM_GPX_NEW_011,푸른수목원 순환,loop,완전 순환형,False,"힐링,자연,조용함,우울위로,외로움위로,스트레스해소","수목원·습지·숲, 차분하고 한적한 환경",100.0,21.0,0.0,True
RM_GPX_NEW_012,보라매공원 순환,loop,완전 순환형,False,"활력,스트레스해소,힐링,기분전환,자연","생활권 대형공원, 운동·산책 혼합",100.0,22.8,0.0,True
RM_GPX_NEW_013,북서울꿈의숲 순환,loop,완전 순환형,False,"힐링,자연,스트레스해소,조용함,성취도전","대형 녹지공원, 숲·전망 공간",100.0,17.5,0.0,True
RM_GPX_NEW_014,서울숲 내부,loop,완전 순환형,False,"힐링,자연,조용함,우울위로,외로움위로,기분전환",서울숲 내부 녹지·산책로,100.0,39.7,7.9,True
RM_GPX_NEW_015,석촌호수 순환,loop,완전 순환형,False,"힐링,개방감,활력,야경,기분전환,스트레스해소","석촌호수 수변, 도심 야경·활기",100.0,50.0,100.0,True
RM_GPX_NEW_016,올림픽공원 대순환,loop,완전 순환형,False,"활력,스트레스해소,자연,개방감,성취도전,힐링",올림픽공원 대형 녹지와 넓은 산책로,100.0,38.8,10.4,True
RM_GPX_NEW_017,올림픽공원 소순환,loop,완전 순환형,False,"힐링,활력,자연,기분전환,스트레스해소","올림픽공원 핵심 구간, 가벼운 공원 러닝",100.0,76.5,72.3,True
RM_GPX_NEW_018,용산가족공원 순환,loop,완전 순환형,False,"힐링,자연,조용함,우울위로,외로움위로,기분전환","가족공원 녹지·연못, 차분한 생활권 공원",100.0,18.8,3.1,True
