구분,course_id,코스명,거리_km,도보네트워크_매칭률,노면태그_커버리지,확인노면_포장비율,조명태그_커버리지,확인구간_조명비율,기분태그,환경
신규 순환형,RM_GPX_NEW_001,평화의공원 순환,3.844,100.0,12.9,100.0,0.0,0.0,"힐링,스트레스해소,답답함해소,자연,개방감,조용함","대형 공원, 잔디·수변, 개방감"
신규 순환형,RM_GPX_NEW_002,하늘공원 순환,6.101,100.0,0.0,0.0,0.0,0.0,"스트레스해소,답답함해소,자연,개방감,성취도전,야경","하늘공원, 억새·전망, 탁 트인 조망"
신규 순환형,RM_GPX_NEW_003,노을공원 순환,6.534,100.0,0.0,0.0,0.0,0.0,"힐링,스트레스해소,자연,개방감,야경,성취도전","노을공원, 넓은 녹지, 석양·전망"
신규 순환형,RM_GPX_NEW_004,월드컵공원 통합 순환,10.365,100.0,1.2,40.0,0.0,0.0,"스트레스해소,자연,개방감,활력,성취도전,힐링","평화·하늘·노을공원 연계, 넓은 녹지"
신규 순환형,RM_GPX_NEW_005,서울식물원 순환,4.121,100.0,73.5,100.0,19.3,100.0,"힐링,우울위로,외로움위로,조용함,자연,기분전환","식물원·호수·녹지, 차분한 산책형 환경"
신규 순환형,RM_GPX_NEW_006,선유도·한강 순환,4.711,100.0,77.4,82.3,25.3,100.0,"스트레스해소,답답함해소,개방감,자연,힐링,야경","선유도공원과 한강 수변, 탁 트인 강변"
신규 순환형,RM_GPX_NEW_007,노들섬·한강 순환,4.291,100.0,64.2,100.0,2.9,100.0,"스트레스해소,답답함해소,개방감,활력,야경,기분전환","노들섬과 한강 수변, 도심·강변 조망"
신규 순환형,RM_GPX_NEW_008,경춘선숲길 순환,6.197,100.0,2.4,100.0,100.0,100.0,"힐링,조용함,자연,스트레스해소,외로움위로,기분전환","선형 숲길·철길공원, 나무가 많은 녹지"
신규 순환형,RM_GPX_NEW_009,서리풀공원 순환,4.927,100.0,9.1,77.8,0.0,0.0,"힐링,자연,조용함,성취도전,스트레스해소","도심 숲과 공원, 비교적 한적한 녹지"
신규 순환형,RM_GPX_NEW_010,안산자락길 순환,6.03,100.0,34.2,45.8,10.3,92.0,"힐링,자연,조용함,성취도전,스트레스해소,우울위로","안산 자락 숲길, 자연·전망 중심"
신규 순환형,RM_GPX_NEW_011,푸른수목원 순환,3.067,100.0,21.0,0.0,0.0,0.0,"힐링,자연,조용함,우울위로,외로움위로,스트레스해소","수목원·습지·숲, 차분하고 한적한 환경"
신규 순환형,RM_GPX_NEW_012,보라매공원 순환,2.824,100.0,22.8,100.0,0.0,0.0,"활력,스트레스해소,힐링,기분전환,자연","생활권 대형공원, 운동·산책 혼합"
신규 순환형,RM_GPX_NEW_013,북서울꿈의숲 순환,3.536,100.0,17.5,76.0,0.0,0.0,"힐링,자연,스트레스해소,조용함,성취도전","대형 녹지공원, 숲·전망 공간"
신규 순환형,RM_GPX_NEW_014,서울숲 내부,3.122,100.0,39.7,28.0,7.9,100.0,"힐링,자연,조용함,우울위로,외로움위로,기분전환",서울숲 내부 녹지·산책로
신규 순환형,RM_GPX_NEW_015,석촌호수 순환,2.611,100.0,50.0,71.7,100.0,100.0,"힐링,개방감,활력,야경,기분전환,스트레스해소","석촌호수 수변, 도심 야경·활기"
신규 순환형,RM_GPX_NEW_016,올림픽공원 대순환,4.98,100.0,38.8,100.0,10.4,100.0,"활력,스트레스해소,자연,개방감,성취도전,힐링",올림픽공원 대형 녹지와 넓은 산책로
신규 순환형,RM_GPX_NEW_017,올림픽공원 소순환,2.95,100.0,76.5,100.0,72.3,100.0,"힐링,활력,자연,기분전환,스트레스해소","올림픽공원 핵심 구간, 가벼운 공원 러닝"
신규 순환형,RM_GPX_NEW_018,용산가족공원 순환,2.37,100.0,18.8,100.0,3.1,100.0,"힐링,자연,조용함,우울위로,외로움위로,기분전환","가족공원 녹지·연못, 차분한 생활권 공원"
기존 GPS 아트형,RM_GPX_V21_01,광화문 댕댕런,7.561,100.0,88.2,100.0,29.3,87.6,"러닝,GPX,GPS아트,활력,기분전환,성취도전,개방감,야경,GPS아트",도심·광장·역사문화 경관
기존 GPS 아트형,RM_GPX_V21_02,남산 하트런,8.771,100.0,94.6,100.0,37.8,98.5,"러닝,GPX,GPS아트,힐링,야경,성취도전,기분전환,자연,GPS아트","남산 도심·공원·전망, 업다운"
기존 GPS 아트형,RM_GPX_V21_04,서울숲 식빵런,1.449,100.0,18.6,54.5,10.2,100.0,"러닝,GPX,GPS아트,힐링,자연,조용함,우울위로,기분전환,GPS아트","서울숲 녹지·공원, 차분한 환경"
기존 GPS 아트형,RM_GPX_V21_05,송파 닥스훈트런,7.855,100.0,61.7,99.0,8.5,100.0,"러닝,GPX,GPS아트,활력,스트레스해소,기분전환,개방감,GPS아트","송파 도심·생활권, 활기 있는 러닝 환경"
기존 GPS 아트형,RM_GPX_V21_06,양재시민의 숲 피자코스,5.957,100.0,22.5,100.0,10.0,100.0,"러닝,GPX,GPS아트,힐링,자연,조용함,스트레스해소,기분전환,GPS아트",양재시민의숲 녹지·공원
기존 GPS 아트형,RM_GPX_V21_07,어린이대공원 붕어빵런,2.579,47.6,0.0,0.0,0.0,0.0,"러닝,GPX,GPS아트,힐링,활력,자연,기분전환,외로움위로,GPS아트",어린이대공원 녹지·공원
