course_id,course_name,district,latitude,longitude,distance_km,difficulty_derived,terrain,environment,mood_tags_derived,nearby_parks,toilet_count_300m,nearby_points,start_point,end_point,description,source,quality_note,elevation_min_m,elevation_max_m,elevation_avg_m,elevation_gain_m,elevation_loss_m,avg_grade_pct,max_grade_pct,elevation_samples,difficulty_elevation,difficulty_final,elevation_summary,water_count_300m,water_count_700m,nearest_water_name,nearest_water_distance_m,nearby_water_parks,realtime_area_count,realtime_area_codes,realtime_area_names,realtime_area_categories,nearest_realtime_area_code,nearest_realtime_area_name,nearest_realtime_area_distance_m,air2025_pm10_avg,air2025_pm25_avg,air2025_o3_avg,air2025_no2_avg,air2025_co_avg,air2025_so2_avg,facility_summary,realtime_summary,walk_network_match_ratio,walk_network_link_count,crosswalk_link_count,bridge_link_count,tunnel_link_count,overpass_link_count,park_green_link_count,indoor_link_count,walk_network_districts,walkability_grade,live_air_pm10,live_air_pm25,live_air_o3,live_air_no2,live_air_co,live_air_so2,live_air_cai,live_air_grade,live_air_measured_at,live_air_districts,live_air_summary,cycleway_ratio,foot_allowed_ratio,foot_known_ratio,foot_restricted_ratio,highway_top,lit_known_ratio,lit_no_ratio,lit_yes_ratio,osm_match_ratio,osm_matched_samples,osm_sample_count,pedestrian_path_ratio,smoothness_bad_ratio,smoothness_good_ratio,smoothness_known_ratio,smoothness_top,steps_sample_ratio,surface_known_ratio,surface_paved_ratio,surface_top,surface_unpaved_ratio,tracktype_top,osm_surface_lighting_summary
RM_SEOUL_009,지하철 4호선 당고개역 ~ 코스 1-2 불암산 우회코스 갈림길,노원구,37.679407,127.087807,4.42,쉬움,미확인(고도데이터 필요),산림,자연|도전|가벼운러닝,,6,덕릉고개|넓은마당|경수사|코스 1-2 불암산 우회코스 갈림길,지하철 4호선 당고개역,코스 1-2 불암산 우회코스 갈림길,"서울시 선형 공간정보를 연결해 생성한 약 4.4km 구간. 인접 주요 지점: 덕릉고개, 넓은마당, 경수사, 코스 1-2 불암산 우회코스 갈림길",서울시 둘레길/두드림길 공간정보 + 서울시 주요 공원현황(2026 상반기) + 서울시 공중화장실 위치정보,"거리=공간선형 계산, 난이도/감성태그=규칙 기반 파생값(검증 필요)",84.8,173.4,133.7,184.0,248.7,1.45,35.63,149,보통,보통,"최저 85m, 최고 173m, 누적상승 184m, 최대경사 약 35.6%",1,3,갈월어린이 공원,116.7,갈월어린이 공원|당고개지구공원|불암어린이공원,0,,,,POI079,창동 신경제 중심지,1878.3,33.06919850885368,18.582287390029325,0.0323836741767764,0.0176299502947636,0.3911443763726737,0.0024179561535784,"화장실 6곳, 음수대 1곳(300m)",가장 가까운 실시간 영역 창동 신경제 중심지 약 1878.3m,16.0,42,37,0,0,0,0,0,노원구,검토필요,21.0,14.0,0.044,0.005,0.2,0.002,61.0,보통,202608271500.0,노원구,"현재 PM10 21, PM2.5 14, 통합대기지수 61",0.0,0.0,0.0,0.0,path:155|residential:5|motorway:4|trunk:4|track:2,0.0,0.0,0.0,96.1,171,178,90.6,0.0,0.0,0.0,,0.6,91.2,2.6,earth:149|asphalt:4|dirt:3,97.4,grade1:2,"OSM 경로매칭 96%, 포장 3%, 비포장 97%, 조명정보 부족"
RM_SEOUL_004,탕춘대성 암문 ~ 코스 8-1 선림사 옆,은평구,37.618934,126.937104,6.27,쉬움,미확인(고도데이터 필요),공원|산림,힐링|녹지|자연|도전|가벼운러닝,불광근린공원,8,선림사|북한산 생태공원|코스 8-1 선림사 옆|코스 8-2 옛성길 시작점,탕춘대성 암문,코스 8-1 선림사 옆,"서울시 선형 공간정보를 연결해 생성한 약 6.3km 구간. 인접 주요 지점: 선림사, 북한산 생태공원, 코스 8-1 선림사 옆, 코스 8-2 옛성길 시작점",서울시 둘레길/두드림길 공간정보 + 서울시 주요 공원현황(2026 상반기) + 서울시 공중화장실 위치정보,"거리=공간선형 계산, 난이도/감성태그=규칙 기반 파생값(검증 필요)",41.9,214.8,110.1,281.7,313.5,0.54,28.94,211,어려움,어려움,"최저 42m, 최고 215m, 누적상승 282m, 최대경사 약 28.9%",6,23,북한산도시자연공원,14.9,관동 어린이공원|물푸레근린공원(뉴타운)|북한산 돌산축구장|북한산 호박골지구|북한산 홍은한마당|북한산도시자연공원|불광 어린이공원|불광근린공원|불광동자투리녹지|새장골어린이공원|시내어린이공원|양천리누리터어린이공원|연신 어린이공원|연신초교옆마을마당|연천초교앞마을마당|제9호근린공원(뉴타운)|향림도시농업체험원|홍록배드민턴장|홍박소공원,0,,,,POI043,연신내역,624.8,31.25816539263377,15.32643811737362,0.0306909291265514,0.0133331025729779,0.4492765662859121,0.0027339002661113,"화장실 8곳, 음수대 6곳(300m)",가장 가까운 실시간 영역 연신내역 약 624.8m,25.0,69,8,0,0,0,0,0,은평구,검토필요,,,0.053,0.005,0.2,0.002,69.0,보통,202608271500.0,은평구,,0.0,100.0,58.3,0.0,path:195|residential:31|steps:16|footway:8|service:2,0.0,0.0,0.0,100.0,252,252,80.6,0.0,0.0,0.0,,6.3,86.9,41.6,earth:114|paving_stones:79|wood:13|asphalt:12|unpaved:1,52.5,,"OSM 경로매칭 100%, 포장 42%, 비포장 52%, 조명정보 부족"
RM_SEOUL_011,방이동 생태경관보전지역 ~ 수서역 5번출구,송파구,37.481714,127.131371,8.27,보통,미확인(고도데이터 필요),하천|공원|산림,힐링|녹지|개방감|물가|자연|도전|가벼운러닝,장지근린공원|오금근린공원,53,"방이동 생태경관보전지역|문정근린공원|가든파이브|수서역 5번출구|코스 3-4 탄천 끝부분|지하철 3호선, 분당선 수서역 6번 출구|코스 4-1 대모산 초입",방이동 생태경관보전지역,수서역 5번출구,"서울시 선형 공간정보를 연결해 생성한 약 8.3km 구간. 인접 주요 지점: 방이동 생태경관보전지역, 문정근린공원, 가든파이브, 수서역 5번출구, 코스 3-4 탄천 끝부분, 지하철 3호선, 분당선 수서역 6번 출구",서울시 둘레길/두드림길 공간정보 + 서울시 주요 공원현황(2026 상반기) + 서울시 공중화장실 위치정보,"거리=공간선형 계산, 난이도/감성태그=규칙 기반 파생값(검증 필요)",10.3,58.2,25.8,66.6,64.0,0.06,10.91,277,보통,보통,"최저 10m, 최고 58m, 누적상승 67m, 최대경사 약 10.9%",12,41,성내천 음수대,3.3,가야금어린이공원|개롱공원|거여공원|글샘근린공원|꿈나무어린이공원|마천공원|문정공원|문정법조단지공원|문현어린이공원|백토공원|벌말어린이공원|복숭아어린이공원|샛팽이어린이공원|성내천 음수대|수서까치공원|아랫말어린이공원|연화공원|영풍어린이공원|오금공원|오동나무어린이공원|올림픽공원|용마어린이공원|율현공원|투구봉공원|한샘어린이공원|향나무어린이공원|호돌이어린이공원|호순이어린이공원|훼미리공원|희망어린이공원,1,POI048,장지역,인구밀집지역,POI048,장지역,0.0,31.760284349143458,17.598735807093526,0.0304069498960978,0.0195489838337182,0.3756847575057736,0.0025300608471799,"화장실 53곳, 음수대 12곳(300m)",서울 실시간 도시데이터 영역 장지역,80.2,204,5,0,0,0,0,0,강남구|송파구,매우양호,20.0,17.5,0.0645,0.0105,0.25,0.002,78.0,보통,202608271500.0,강남구|송파구,"현재 PM10 20, PM2.5 18, 통합대기지수 78",36.4,100.0,27.7,0.0,footway:167|cycleway:121|residential:24|service:6|tertiary:4,10.5,0.0,100.0,100.0,332,332,51.5,0.0,100.0,17.2,good:57,0.0,40.1,61.7,asphalt:65|rubber:51|paving_stones:13|concrete:4,0.0,,"OSM 경로매칭 100%, 포장 62%, 비포장 0%, 조명 있음 100%"
RM_SEOUL_005,7.빨래골지킴터 ~ 탕춘대성 암문,종로구,37.61316,126.982033,10.26,보통,미확인(고도데이터 필요),도심/녹지,장거리|성취감,,10,탕춘대성 암문|불심원|5.연화정사|6.성북생태체험관|7.빨래골지킴터|코스 8-3 명상길 시작점|코스 8-4 흰구름길 시작점,7.빨래골지킴터,탕춘대성 암문,"서울시 선형 공간정보를 연결해 생성한 약 10.3km 구간. 인접 주요 지점: 탕춘대성 암문, 불심원, 5.연화정사, 6.성북생태체험관, 7.빨래골지킴터, 코스 8-3 명상길 시작점",서울시 둘레길/두드림길 공간정보 + 서울시 주요 공원현황(2026 상반기) + 서울시 공중화장실 위치정보,"거리=공간선형 계산, 난이도/감성태그=규칙 기반 파생값(검증 필요)",88.9,278.3,179.4,483.0,417.6,0.56,30.93,344,어려움,어려움,"최저 89m, 최고 278m, 누적상승 483m, 최대경사 약 30.9%",8,12,북한산도시자연공원,5.0,감나무골어린이공원|북한산 호박골지구|북한산도시자연공원|빨래골어린이공원|삼양마을마당|정릉천변|참샘골어린이공원|청암어린이공원|하늘어린이공원,0,,,,POI036,수유역,1526.4,32.08957673818736,20.23200559049616,0.0336470997406272,0.0201484736355226,0.4100497339810316,0.0027277969736685,"화장실 10곳, 음수대 8곳(300m)",가장 가까운 실시간 영역 수유역 약 1526.4m,75.4,233,17,0,0,0,0,0,강북구|성북구|종로구,양호,20.0,13.0,0.049,0.0063,0.2333,0.003,65.6667,보통,202608271500.0,강북구|성북구|종로구,"현재 PM10 20, PM2.5 13, 통합대기지수 66",0.0,0.0,0.0,0.0,residential:203|path:159|steps:18|footway:16|tertiary:14,3.6,0.0,100.0,100.0,412,412,42.5,0.0,0.0,0.0,,4.4,97.8,59.3,asphalt:203|earth:146|wood:17|paved:15|concrete:10,36.2,,"OSM 경로매칭 100%, 포장 59%, 비포장 36%, 조명 있음 100%"
RM_SEOUL_010,지하철 6호선 화랑대역 4번출구 ~ 지하철 5호선 광나루역 1번출구,중랑구,37.592237,127.109341,12.63,보통,미확인(고도데이터 필요),공원|산림,힐링|녹지|자연|도전|장거리|성취감,중랑캠핑숲|아차산공원,35,지하철 6호선 화랑대역 4번출구|1-3/2-1 화랑대 4번 출구 앞 공원|지하철 6호선 화랑대역 4번출구|중랑캠핑숲|망우묘지공원|해맞이광장|아차산생태공원|지하철 5호선 광나루역 1번출구|아차산 4보루 성터|아차산성|양원역 2번 출구|코스 1-3 / 2-1 화랑대역 4번 출구 앞 공원,지하철 6호선 화랑대역 4번출구,지하철 5호선 광나루역 1번출구,"서울시 선형 공간정보를 연결해 생성한 약 12.6km 구간. 인접 주요 지점: 지하철 6호선 화랑대역 4번출구, 1-3/2-1 화랑대 4번 출구 앞 공원, 지하철 6호선 화랑대역 4번출구, 중랑캠핑숲, 망우묘지공원, 해맞이광장",서울시 둘레길/두드림길 공간정보 + 서울시 주요 공원현황(2026 상반기) + 서울시 공중화장실 위치정보,"거리=공간선형 계산, 난이도/감성태그=규칙 기반 파생값(검증 필요)",18.7,313.5,127.1,334.1,361.1,0.04,28.34,423,어려움,어려움,"최저 19m, 최고 314m, 누적상승 334m, 최대경사 약 28.3%",8,33,중랑캠핑숲,17.7,갓바위어린이공원|광진숲나루|구화랑대역철도공원|긴고랑등산로입구|노원구-개미어린이공원-1|노원구-공릉근린공원-1|노원구-청솔어린이공원-1|능산공원|돌산체육공원|망우어린이공원|방죽어린이공원|배밭공원|봉화산 유아숲체험장|사가정공원|신내공원|아차산공원|옹기테마공원|용마산 가족공원|중랑구-묵동어린이공원|중랑구-옹기테마공원|중랑캠핑숲,1,POI102,아차산,공원,POI102,아차산,0.0,31.75218048610304,19.361654752138755,0.0298783295440947,0.0163401641239019,0.3690337494220989,0.0027362121928166,"화장실 35곳, 음수대 8곳(300m)",서울 실시간 도시데이터 영역 아차산,52.3,253,31,0,0,0,0,0,광진구|노원구|중랑구,양호,25.3333,16.6667,0.056,0.0103,0.2333,0.0023,71.3333,보통,202608271500.0,광진구|노원구|중랑구,"현재 PM10 25, PM2.5 17, 통합대기지수 71",2.4,100.0,5.1,0.0,path:219|footway:131|tertiary:41|steps:31|service:26,19.8,61.0,39.0,99.6,505,507,73.1,62.5,37.5,4.8,bad:15|excellent:9,6.1,72.9,40.8,earth:125|asphalt:96|ground:62|paving_stones:29|concrete:25,52.2,,"OSM 경로매칭 100%, 포장 41%, 비포장 52%, 조명 있음 39%"
RM_SEOUL_003,지하철 4호선 사당역 4번출구 ~ 지하철 1호선 석수역 1번출구,관악구,37.464017,126.948023,12.81,보통,미확인(고도데이터 필요),하천|공원|산림,힐링|녹지|개방감|물가|자연|도전|장거리|성취감,샘말공원(관악산근린공원 샘말지구),41,"지하철 2호선, 4호선 사당역 4번출구|지하철 4호선 사당역 4번출구|관음사|낙성대공원|서울대학교|약수암|천주교삼성상성지|호압사|한우물 및 주변산성지|지하철 1호선 석수역 1번출구|코스 5-1 관음사 입구|코스 5-2 관악산 안내소 앞",지하철 4호선 사당역 4번출구,지하철 1호선 석수역 1번출구,"서울시 선형 공간정보를 연결해 생성한 약 12.8km 구간. 인접 주요 지점: 지하철 2호선, 4호선 사당역 4번출구, 지하철 4호선 사당역 4번출구, 관음사, 낙성대공원, 서울대학교, 약수암",서울시 둘레길/두드림길 공간정보 + 서울시 주요 공원현황(2026 상반기) + 서울시 공중화장실 위치정보,"거리=공간선형 계산, 난이도/감성태그=규칙 기반 파생값(검증 필요)",18.0,240.5,128.4,524.0,530.9,0.01,32.72,429,어려움,어려움,"최저 18m, 최고 240m, 누적상승 524m, 최대경사 약 32.7%",15,35,관악산경로구역공원,1.4,관악구민운동장|관악산 낙성대야외놀이마당|관악산게이트볼장|관악산경로구역공원|관악산계곡캠핑장|관악산낙성대광장공원|관악산맷돌체조장|관악산호수구역공원|관악제2구민운동장|교체 어린이공원|군아파트 어린이공원|금천-박미사랑소공원-1|금천-방수설비잔디광장-1|까치어린이공원|꾸러기공원|낙성대게이트볼장|맨발공원|모래내공원|목화 어린이공원|밤골 어린이공원|백설 어린이공원|비둘기공원|사당 만남의 공원|상록 어린이공원|샘말공원|예촌 어린이공원|원당 어린이공원|진달래공원|청두어린이공원|탑골 어린이공원|해바라기 어린이공원|해태 어린이공원,1,POI029,사당역,인구밀집지역,POI029,사당역,0.0,28.31780595369349,17.382617106535857,0.0317986163670766,0.0190207798327247,0.388230025925053,0.0024821995733586,"화장실 41곳, 음수대 15곳(300m)",서울 실시간 도시데이터 영역 사당역,42.6,148,29,0,0,0,0,0,관악구|금천구|동작구|서초구,검토필요,21.75,11.75,0.0617,0.0087,0.3,0.0025,76.25,보통,202608271500.0,관악구|금천구|동작구|서초구,"현재 PM10 22, PM2.5 12, 통합대기지수 76",2.2,93.3,26.6,6.7,path:362|service:39|footway:36|residential:32|trunk:12,3.7,0.0,100.0,98.8,508,514,78.3,0.0,100.0,4.3,good:22,1.8,9.1,91.3,asphalt:22|paving_stones:20|earth:3|ground:1,8.7,,"OSM 경로매칭 99%, 포장 91%, 비포장 9%, 조명 있음 100%"
RM_SEOUL_007,코스 8-6 도봉탐방지원센터 옆 ~ 7.빨래골지킴터,강북구,37.661201,127.0068,14.31,어려움,미확인(고도데이터 필요),공원|산림,힐링|녹지|자연|도전|장거리|성취감,솔밭근린공원,14,7.빨래골지킴터|8.이준열사묘소|9.419국립묘지|10.봉황각|코스 8-5 왕실묘역 시작점|코스 8-6 도봉탐방지원센터 옆,코스 8-6 도봉탐방지원센터 옆,7.빨래골지킴터,"서울시 선형 공간정보를 연결해 생성한 약 14.3km 구간. 인접 주요 지점: 7.빨래골지킴터, 8.이준열사묘소, 9.419국립묘지, 10.봉황각, 코스 8-5 왕실묘역 시작점, 코스 8-6 도봉탐방지원센터 옆",서울시 둘레길/두드림길 공간정보 + 서울시 주요 공원현황(2026 상반기) + 서울시 공중화장실 위치정보,"거리=공간선형 계산, 난이도/감성태그=규칙 기반 파생값(검증 필요)",41.5,151.8,90.9,575.5,503.7,0.65,27.63,479,어려움,어려움,"최저 42m, 최고 152m, 누적상승 576m, 최대경사 약 27.6%",9,23,솔밭공원,3.8,도봉산역만남의광장|뒷말어린이공원|무지개어린이공원|발바닥공원|방학3동가로공원|북한산도시자연공원|빨래골어린이공원|새동네어린이공원|샘말어린이공원|서울창포원|서원어린이공원|솔밭공원|수유일공원|우이동만남의광장|푸른어린이공원|하늘어린이공원,0,,,,POI036,수유역,1248.6,30.50502923976608,18.02871818818585,0.0345196096872795,0.0118681650103998,0.3429370224589025,0.002227679414542,"화장실 14곳, 음수대 9곳(300m)",가장 가까운 실시간 영역 수유역 약 1248.6m,39.3,187,0,0,0,0,0,0,강북구|도봉구,검토필요,17.0,13.0,0.05,0.0035,0.2,0.0025,66.5,보통,202608271500.0,강북구|도봉구,"현재 PM10 17, PM2.5 13, 통합대기지수 66",0.0,37.0,4.7,63.0,path:410|residential:57|service:53|footway:19|secondary:16,5.1,100.0,0.0,100.0,574,574,75.3,0.0,100.0,0.2,intermediate:1,2.4,97.0,26.0,earth:348|asphalt:102|ground:43|paving_stones:29|wood:18,70.7,,"OSM 경로매칭 100%, 포장 26%, 비포장 71%, 조명 있음 0%"
RM_SEOUL_008,1-1코스 창포원 관리사무소 앞 ~ 지하철 6호선 화랑대역 4번출구,노원구,37.670414,127.079303,14.61,어려움,미확인(고도데이터 필요),공원|산림,힐링|녹지|자연|도전|장거리|성취감,서울창포원,37,"지하철 1,7호선 도봉산역 2번출구|서울창포원|넓은마당|경수사|성관사|넓적바위|태릉|지하철 6호선 화랑대역 4번출구|지하철 4호선 당고개역|지하철 7호선 수락산역|1-1코스 창포원 관리사무소 앞|코스 1-2 불암산 우회코스 갈림길",1-1코스 창포원 관리사무소 앞,지하철 6호선 화랑대역 4번출구,"서울시 선형 공간정보를 연결해 생성한 약 14.6km 구간. 인접 주요 지점: 지하철 1,7호선 도봉산역 2번출구, 서울창포원, 넓은마당, 경수사, 성관사, 넓적바위",서울시 둘레길/두드림길 공간정보 + 서울시 주요 공원현황(2026 상반기) + 서울시 공중화장실 위치정보,"거리=공간선형 계산, 난이도/감성태그=규칙 기반 파생값(검증 필요)",22.2,190.6,83.3,447.3,450.8,0.05,24.0,489,어려움,어려움,"최저 22m, 최고 191m, 누적상승 447m, 최대경사 약 24.0%",13,33,노원구-상계장암지구근린공원-1,4.4,갈월어린이 공원|개나리어린이공원|구화랑대역철도공원|꿈나라어린이공원|노원구-갓바위어린이공원-1|노원구-개미어린이공원-1|노원구-공릉근린공원-1|노원구-노원골지구공원-1|노원구-당현어린이공원-1|노원구-상계장암지구근린공원-1|노원구-종달새어린이공원-1|노원구-청솔어린이공원-1|누원어린이공원|늘푸른어린이공원|다락원체육공원|당고개지구공원|도봉산역만남의광장|무궁화어린이공원|무수천|무지개어린이공원|봉화산 유아숲체험장|불암산도시자연공원|불암어린이공원|새동네어린이공원|샘터어린이공원|서울창포원|서원어린이공원|정담공원|중랑구-묵동어린이공원|천보어린이공원|햇빛공원,0,,,,POI079,창동 신경제 중심지,1015.3,33.06919850885368,18.582287390029325,0.0323836741767764,0.0176299502947636,0.3911443763726737,0.0024179561535784,"화장실 37곳, 음수대 13곳(300m)",가장 가까운 실시간 영역 창동 신경제 중심지 약 1015.3m,43.7,299,46,0,0,16,0,0,노원구|도봉구,검토필요,18.0,11.0,0.0485,0.0045,0.2,0.0025,65.0,보통,202608271500.0,노원구|도봉구,"현재 PM10 18, PM2.5 11, 통합대기지수 65",1.5,100.0,2.0,0.0,path:409|residential:44|footway:43|secondary:28|service:9,0.5,0.0,100.0,93.2,546,586,82.8,0.0,0.0,0.0,,0.0,85.9,18.6,earth:374|asphalt:58|paved:26|ground:7|paving_stones:2,81.2,,"OSM 경로매칭 93%, 포장 19%, 비포장 81%, 조명 있음 100%"
RM_SEOUL_012,코스 3-2 광진교 초입 ~ 방이동 생태경관보전지역,강동구,37.555474,127.158144,15.66,어려움,미확인(고도데이터 필요),하천|공원|산림,힐링|녹지|개방감|물가|자연|도전|장거리|성취감,명일근린공원,48,한강공원 광나루지구|암사동선사주거지|샘터공원|명일공원|방이동 생태경관보전지역|고덕역 4번출구|3-2 일자산 초입(고덕역 4번 출구 260m 앞)|코스 3-3 방이동 생태경관보전지역 사무소 앞,코스 3-2 광진교 초입,방이동 생태경관보전지역,"서울시 선형 공간정보를 연결해 생성한 약 15.7km 구간. 인접 주요 지점: 한강공원 광나루지구, 암사동선사주거지, 샘터공원, 명일공원, 방이동 생태경관보전지역, 고덕역 4번출구",서울시 둘레길/두드림길 공간정보 + 서울시 주요 공원현황(2026 상반기) + 서울시 공중화장실 위치정보,"거리=공간선형 계산, 난이도/감성태그=규칙 기반 파생값(검증 필요)",11.6,123.2,48.2,232.3,212.6,0.02,17.3,524,어려움,어려움,"최저 12m, 최고 123m, 누적상승 232m, 최대경사 약 17.3%",23,52,한강공원(광나루),1.6,가야금어린이공원|고덕레미안힐스테이트공원|광진교|광진어린이공원|구암어린이공원|꿈나래어린이공원|동명공원|두레근린공원|명린근린공원|방죽근린공원|백토공원|볕우물공원|새장터어린이공원|샘터근린공원|송림근린공원|암사역사공원|암사정수센터 교차로 샘터|오동나무어린이공원|올림픽공원|원터근린공원|일자산공원|천호해공공원|하늬어린이공원|한강공원(광나루)|한우물어린이공원|허브체험공원,2,POI011|POI087,서울 암사동 유적|광나루한강공원,고궁·문화유산|공원,POI011,서울 암사동 유적,0.0,34.35390264124126,20.84625203063356,0.0331286916426512,0.0169365690569518,0.5305800072350175,0.0026900289519397,"화장실 48곳, 음수대 23곳(300m)",서울 실시간 도시데이터 영역 서울 암사동 유적|광나루한강공원,57.6,364,44,0,0,0,0,0,강동구|송파구,양호,25.0,18.0,0.0655,0.0135,0.3,0.002,79.0,보통,202608271500.0,강동구|송파구,"현재 PM10 25, PM2.5 18, 통합대기지수 79",18.2,98.3,9.6,1.7,path:277|cycleway:110|footway:65|residential:43|service:35,4.8,0.0,100.0,96.0,603,628,56.7,100.0,0.0,23.2,bad:140,1.2,45.4,47.4,ground:139|asphalt:111|paving_stones:17|wood:5|concrete:2,50.7,grade2:1,"OSM 경로매칭 96%, 포장 47%, 비포장 51%, 조명 있음 100%"
RM_SEOUL_002,코스 6-1 석수역 앞 ~ 코스 7-1 가양대교 시작점,구로구,37.506304,126.873784,17.49,어려움,미확인(고도데이터 필요),하천|공원|산림,힐링|녹지|개방감|물가|자연|도전|장거리|성취감,갈산근린공원|염창근린공원,70,금천구청역|황금내 근린공원|코스 7-1 가양대교 시작점|지하철 1호선 석수역 1번출구|지하철 1호선 석수역 2번출구|안양천|구일역|도림천역|양화교폭포|지하철 9호선 가양역 4번출구|코스 6-1 석수역 앞|코스 6-2 구일역 앞,코스 6-1 석수역 앞,코스 7-1 가양대교 시작점,"서울시 선형 공간정보를 연결해 생성한 약 17.5km 구간. 인접 주요 지점: 금천구청역, 황금내 근린공원, 코스 7-1 가양대교 시작점, 지하철 1호선 석수역 1번출구, 지하철 1호선 석수역 2번출구, 안양천",서울시 둘레길/두드림길 공간정보 + 서울시 주요 공원현황(2026 상반기) + 서울시 공중화장실 위치정보,"거리=공간선형 계산, 난이도/감성태그=규칙 기반 파생값(검증 필요)",2.5,21.0,10.3,49.2,71.9,0.03,7.48,585,보통,보통,"최저 2m, 최고 21m, 누적상승 49m, 최대경사 약 7.5%",39,65,안양천둔치공원,0.4,갈산공원|곰돌이공원|공암나루공원|구암공원|금천-금나래중앙공원-1|금천-금나래중앙공원-2|금천-도하소공원-1|금천-독산근린공원-1|금천-말뫼마을마당-1|금천-박미사랑소공원-1|금천-중앙어린이공원-1|금천-풍림어린이공원-1|까치어린이공원|꾸러기공원|남서울공원|독산근린공원|목동근린공원|목마근린공원|비둘기공원|안양천(금천교하부)|안양천고수부지|안양천둔치공원|안양천체육공원|양남어린이공원|염창산공원|용왕산근린공원|증미산둘레길|진달래공원|차없는거리|참새공원|한강시민공원(양화지구)|해누리체육공원|황금내공원,2,POI013|POI125,가산디지털단지역|안양천,인구밀집지역|공원,POI013,가산디지털단지역,0.0,35.744576877234806,20.88097458615061,0.0322117496211679,0.015554929903835,0.3484283066944637,0.002565207319898,"화장실 70곳, 음수대 39곳(300m)",서울 실시간 도시데이터 영역 가산디지털단지역|안양천,93.5,233,159,0,0,0,0,0,강서구|구로구|금천구|양천구|영등포구,매우양호,17.6,10.8,0.0498,0.0076,0.24,0.0022,66.4,보통,202608271500.0,강서구|구로구|금천구|양천구|영등포구,"현재 PM10 18, PM2.5 11, 통합대기지수 66",73.5,64.4,78.9,35.6,cycleway:516|footway:76|service:33|trunk:23|pedestrian:16,0.4,66.7,33.3,100.0,702,702,13.2,0.0,100.0,2.3,excellent:16,0.4,59.1,100.0,concrete:344|asphalt:71,0.0,,"OSM 경로매칭 100%, 포장 100%, 비포장 0%, 조명 있음 33%"
