course_id,course_name,district,latitude,longitude,distance_km,difficulty_derived,terrain,environment,mood_tags_derived,nearby_parks,toilet_count_300m,nearby_points,start_point,end_point,description,source,quality_note
RM_SEOUL_009,지하철 4호선 당고개역 ~ 코스 1-2 불암산 우회코스 갈림길,노원구,37.679407,127.087807,4.42,쉬움,미확인(고도데이터 필요),산림,자연|도전|가벼운러닝,,6,덕릉고개|넓은마당|경수사|코스 1-2 불암산 우회코스 갈림길,지하철 4호선 당고개역,코스 1-2 불암산 우회코스 갈림길,"서울시 선형 공간정보를 연결해 생성한 약 4.4km 구간. 인접 주요 지점: 덕릉고개, 넓은마당, 경수사, 코스 1-2 불암산 우회코스 갈림길",서울시 둘레길/두드림길 공간정보 + 서울시 주요 공원현황(2026 상반기) + 서울시 공중화장실 위치정보,"거리=공간선형 계산, 난이도/감성태그=규칙 기반 파생값(검증 필요)"
RM_SEOUL_004,탕춘대성 암문 ~ 코스 8-1 선림사 옆,은평구,37.618934,126.937104,6.27,쉬움,미확인(고도데이터 필요),공원|산림,힐링|녹지|자연|도전|가벼운러닝,불광근린공원,8,선림사|북한산 생태공원|코스 8-1 선림사 옆|코스 8-2 옛성길 시작점,탕춘대성 암문,코스 8-1 선림사 옆,"서울시 선형 공간정보를 연결해 생성한 약 6.3km 구간. 인접 주요 지점: 선림사, 북한산 생태공원, 코스 8-1 선림사 옆, 코스 8-2 옛성길 시작점",서울시 둘레길/두드림길 공간정보 + 서울시 주요 공원현황(2026 상반기) + 서울시 공중화장실 위치정보,"거리=공간선형 계산, 난이도/감성태그=규칙 기반 파생값(검증 필요)"
RM_SEOUL_011,방이동 생태경관보전지역 ~ 수서역 5번출구,송파구,37.481714,127.131371,8.27,보통,미확인(고도데이터 필요),하천|공원|산림,힐링|녹지|개방감|물가|자연|도전|가벼운러닝,장지근린공원|오금근린공원,53,"방이동 생태경관보전지역|문정근린공원|가든파이브|수서역 5번출구|코스 3-4 탄천 끝부분|지하철 3호선, 분당선 수서역 6번 출구|코스 4-1 대모산 초입",방이동 생태경관보전지역,수서역 5번출구,"서울시 선형 공간정보를 연결해 생성한 약 8.3km 구간. 인접 주요 지점: 방이동 생태경관보전지역, 문정근린공원, 가든파이브, 수서역 5번출구, 코스 3-4 탄천 끝부분, 지하철 3호선, 분당선 수서역 6번 출구",서울시 둘레길/두드림길 공간정보 + 서울시 주요 공원현황(2026 상반기) + 서울시 공중화장실 위치정보,"거리=공간선형 계산, 난이도/감성태그=규칙 기반 파생값(검증 필요)"
RM_SEOUL_005,7.빨래골지킴터 ~ 탕춘대성 암문,종로구,37.61316,126.982033,10.26,보통,미확인(고도데이터 필요),도심/녹지,장거리|성취감,,10,탕춘대성 암문|불심원|5.연화정사|6.성북생태체험관|7.빨래골지킴터|코스 8-3 명상길 시작점|코스 8-4 흰구름길 시작점,7.빨래골지킴터,탕춘대성 암문,"서울시 선형 공간정보를 연결해 생성한 약 10.3km 구간. 인접 주요 지점: 탕춘대성 암문, 불심원, 5.연화정사, 6.성북생태체험관, 7.빨래골지킴터, 코스 8-3 명상길 시작점",서울시 둘레길/두드림길 공간정보 + 서울시 주요 공원현황(2026 상반기) + 서울시 공중화장실 위치정보,"거리=공간선형 계산, 난이도/감성태그=규칙 기반 파생값(검증 필요)"
RM_SEOUL_010,지하철 6호선 화랑대역 4번출구 ~ 지하철 5호선 광나루역 1번출구,중랑구,37.592237,127.109341,12.63,보통,미확인(고도데이터 필요),공원|산림,힐링|녹지|자연|도전|장거리|성취감,중랑캠핑숲|아차산공원,35,지하철 6호선 화랑대역 4번출구|1-3/2-1 화랑대 4번 출구 앞 공원|지하철 6호선 화랑대역 4번출구|중랑캠핑숲|망우묘지공원|해맞이광장|아차산생태공원|지하철 5호선 광나루역 1번출구|아차산 4보루 성터|아차산성|양원역 2번 출구|코스 1-3 / 2-1 화랑대역 4번 출구 앞 공원,지하철 6호선 화랑대역 4번출구,지하철 5호선 광나루역 1번출구,"서울시 선형 공간정보를 연결해 생성한 약 12.6km 구간. 인접 주요 지점: 지하철 6호선 화랑대역 4번출구, 1-3/2-1 화랑대 4번 출구 앞 공원, 지하철 6호선 화랑대역 4번출구, 중랑캠핑숲, 망우묘지공원, 해맞이광장",서울시 둘레길/두드림길 공간정보 + 서울시 주요 공원현황(2026 상반기) + 서울시 공중화장실 위치정보,"거리=공간선형 계산, 난이도/감성태그=규칙 기반 파생값(검증 필요)"
RM_SEOUL_003,지하철 4호선 사당역 4번출구 ~ 지하철 1호선 석수역 1번출구,관악구,37.464017,126.948023,12.81,보통,미확인(고도데이터 필요),하천|공원|산림,힐링|녹지|개방감|물가|자연|도전|장거리|성취감,샘말공원(관악산근린공원 샘말지구),41,"지하철 2호선, 4호선 사당역 4번출구|지하철 4호선 사당역 4번출구|관음사|낙성대공원|서울대학교|약수암|천주교삼성상성지|호압사|한우물 및 주변산성지|지하철 1호선 석수역 1번출구|코스 5-1 관음사 입구|코스 5-2 관악산 안내소 앞",지하철 4호선 사당역 4번출구,지하철 1호선 석수역 1번출구,"서울시 선형 공간정보를 연결해 생성한 약 12.8km 구간. 인접 주요 지점: 지하철 2호선, 4호선 사당역 4번출구, 지하철 4호선 사당역 4번출구, 관음사, 낙성대공원, 서울대학교, 약수암",서울시 둘레길/두드림길 공간정보 + 서울시 주요 공원현황(2026 상반기) + 서울시 공중화장실 위치정보,"거리=공간선형 계산, 난이도/감성태그=규칙 기반 파생값(검증 필요)"
RM_SEOUL_007,코스 8-6 도봉탐방지원센터 옆 ~ 7.빨래골지킴터,강북구,37.661201,127.0068,14.31,어려움,미확인(고도데이터 필요),공원|산림,힐링|녹지|자연|도전|장거리|성취감,솔밭근린공원,14,7.빨래골지킴터|8.이준열사묘소|9.419국립묘지|10.봉황각|코스 8-5 왕실묘역 시작점|코스 8-6 도봉탐방지원센터 옆,코스 8-6 도봉탐방지원센터 옆,7.빨래골지킴터,"서울시 선형 공간정보를 연결해 생성한 약 14.3km 구간. 인접 주요 지점: 7.빨래골지킴터, 8.이준열사묘소, 9.419국립묘지, 10.봉황각, 코스 8-5 왕실묘역 시작점, 코스 8-6 도봉탐방지원센터 옆",서울시 둘레길/두드림길 공간정보 + 서울시 주요 공원현황(2026 상반기) + 서울시 공중화장실 위치정보,"거리=공간선형 계산, 난이도/감성태그=규칙 기반 파생값(검증 필요)"
RM_SEOUL_008,1-1코스 창포원 관리사무소 앞 ~ 지하철 6호선 화랑대역 4번출구,노원구,37.670414,127.079303,14.61,어려움,미확인(고도데이터 필요),공원|산림,힐링|녹지|자연|도전|장거리|성취감,서울창포원,37,"지하철 1,7호선 도봉산역 2번출구|서울창포원|넓은마당|경수사|성관사|넓적바위|태릉|지하철 6호선 화랑대역 4번출구|지하철 4호선 당고개역|지하철 7호선 수락산역|1-1코스 창포원 관리사무소 앞|코스 1-2 불암산 우회코스 갈림길",1-1코스 창포원 관리사무소 앞,지하철 6호선 화랑대역 4번출구,"서울시 선형 공간정보를 연결해 생성한 약 14.6km 구간. 인접 주요 지점: 지하철 1,7호선 도봉산역 2번출구, 서울창포원, 넓은마당, 경수사, 성관사, 넓적바위",서울시 둘레길/두드림길 공간정보 + 서울시 주요 공원현황(2026 상반기) + 서울시 공중화장실 위치정보,"거리=공간선형 계산, 난이도/감성태그=규칙 기반 파생값(검증 필요)"
RM_SEOUL_012,코스 3-2 광진교 초입 ~ 방이동 생태경관보전지역,강동구,37.555474,127.158144,15.66,어려움,미확인(고도데이터 필요),하천|공원|산림,힐링|녹지|개방감|물가|자연|도전|장거리|성취감,명일근린공원,48,한강공원 광나루지구|암사동선사주거지|샘터공원|명일공원|방이동 생태경관보전지역|고덕역 4번출구|3-2 일자산 초입(고덕역 4번 출구 260m 앞)|코스 3-3 방이동 생태경관보전지역 사무소 앞,코스 3-2 광진교 초입,방이동 생태경관보전지역,"서울시 선형 공간정보를 연결해 생성한 약 15.7km 구간. 인접 주요 지점: 한강공원 광나루지구, 암사동선사주거지, 샘터공원, 명일공원, 방이동 생태경관보전지역, 고덕역 4번출구",서울시 둘레길/두드림길 공간정보 + 서울시 주요 공원현황(2026 상반기) + 서울시 공중화장실 위치정보,"거리=공간선형 계산, 난이도/감성태그=규칙 기반 파생값(검증 필요)"
RM_SEOUL_002,코스 6-1 석수역 앞 ~ 코스 7-1 가양대교 시작점,구로구,37.506304,126.873784,17.49,어려움,미확인(고도데이터 필요),하천|공원|산림,힐링|녹지|개방감|물가|자연|도전|장거리|성취감,갈산근린공원|염창근린공원,70,금천구청역|황금내 근린공원|코스 7-1 가양대교 시작점|지하철 1호선 석수역 1번출구|지하철 1호선 석수역 2번출구|안양천|구일역|도림천역|양화교폭포|지하철 9호선 가양역 4번출구|코스 6-1 석수역 앞|코스 6-2 구일역 앞,코스 6-1 석수역 앞,코스 7-1 가양대교 시작점,"서울시 선형 공간정보를 연결해 생성한 약 17.5km 구간. 인접 주요 지점: 금천구청역, 황금내 근린공원, 코스 7-1 가양대교 시작점, 지하철 1호선 석수역 1번출구, 지하철 1호선 석수역 2번출구, 안양천",서울시 둘레길/두드림길 공간정보 + 서울시 주요 공원현황(2026 상반기) + 서울시 공중화장실 위치정보,"거리=공간선형 계산, 난이도/감성태그=규칙 기반 파생값(검증 필요)"
