course_id,course_name,is_gps_art,water_count_300m,water_count_700m,toilet_count_300m,mood_tags_derived,environment
RM_LOOP_V19_초급_01_RM_STREAM_010,도봉구 초급 완전순환런,False,5.0,9.0,6.0,"힐링,스트레스해소,답답함해소,개방감,활력,자연,기분전환","하천·수변·도심, 비교적 평탄하고 탁 트인 러닝 환경"
RM_LOOP_V19_초급_02_RM_STREAM_011,노원구|도봉구 초급 완전순환런,False,3.0,9.0,11.0,"힐링,스트레스해소,답답함해소,개방감,활력,자연,기분전환","하천·수변·도심, 비교적 평탄하고 탁 트인 러닝 환경"
RM_LOOP_V19_중급_01_RM_STREAM_010,도봉구 중급 완전순환런,False,7.0,12.0,6.0,"힐링,스트레스해소,답답함해소,개방감,활력,자연,기분전환","하천·수변·도심, 비교적 평탄하고 탁 트인 러닝 환경"
RM_LOOP_V19_중급_02_RM_STREAM_011,노원구|도봉구 중급 완전순환런,False,6.0,17.0,11.0,"힐링,스트레스해소,답답함해소,개방감,활력,자연,기분전환","하천·수변·도심, 비교적 평탄하고 탁 트인 러닝 환경"
RM_LOOP_V19_고급_01_RM_STREAM_010,도봉구 고급 완전순환런,False,10.0,14.0,6.0,"힐링,스트레스해소,답답함해소,개방감,활력,자연,기분전환","하천·수변·도심, 비교적 평탄하고 탁 트인 러닝 환경"
RM_LOOP_V19_고급_02_RM_STREAM_011,노원구|도봉구 고급 완전순환런,False,10.0,22.0,11.0,"힐링,스트레스해소,답답함해소,개방감,활력,자연,기분전환","하천·수변·도심, 비교적 평탄하고 탁 트인 러닝 환경"
RM_LOOP_V19_전문가_01_RM_STREAM_010,도봉구 전문가 완전순환런,False,10.0,19.0,6.0,"힐링,스트레스해소,답답함해소,개방감,활력,자연,기분전환","하천·수변·도심, 비교적 평탄하고 탁 트인 러닝 환경"
RM_LOOP_V19_전문가_02_RM_STREAM_011,노원구|도봉구 전문가 완전순환런,False,22.0,30.0,11.0,"힐링,스트레스해소,답답함해소,개방감,활력,자연,기분전환","하천·수변·도심, 비교적 평탄하고 탁 트인 러닝 환경"
RM_GPX_V21_01,광화문 댕댕런,True,12.0,23.0,,"러닝,GPX,GPS아트,활력,기분전환,성취도전,개방감,야경",도심·광장·역사문화 경관
RM_GPX_V21_02,남산 하트런,True,25.0,42.0,,"러닝,GPX,GPS아트,힐링,야경,성취도전,기분전환,자연","남산 도심·공원·전망, 업다운"
RM_GPX_V21_03,도림천 한바퀴,False,29.0,63.0,,"힐링,스트레스해소,답답함해소,개방감,활력,자연,기분전환","도림천 수변·하천길, 평탄하고 개방적인 러닝 환경"
RM_GPX_V21_04,서울숲 식빵런,True,8.0,17.0,,"러닝,GPX,GPS아트,힐링,자연,조용함,우울위로,기분전환","서울숲 녹지·공원, 차분한 환경"
RM_GPX_V21_05,송파 닥스훈트런,True,18.0,32.0,,"러닝,GPX,GPS아트,활력,스트레스해소,기분전환,개방감","송파 도심·생활권, 활기 있는 러닝 환경"
RM_GPX_V21_06,양재시민의 숲 피자코스,True,11.0,19.0,,"러닝,GPX,GPS아트,힐링,자연,조용함,스트레스해소,기분전환",양재시민의숲 녹지·공원
RM_GPX_V21_07,어린이대공원 붕어빵런,True,16.0,20.0,,"러닝,GPX,GPS아트,힐링,활력,자연,기분전환,외로움위로",어린이대공원 녹지·공원
RM_GPX_V21_08,여의도 고구마 코스,False,23.0,33.0,,"활력,스트레스해소,답답함해소,개방감,기분전환,야경","여의도 도심·한강권, 개방감과 활기가 있는 순환 환경"
RM_GPX_V21_10,여의도공원 순환코스,False,13.0,23.0,,"힐링,스트레스해소,활력,자연,개방감,기분전환","여의도공원 녹지·평지, 가볍게 달리기 좋은 공원 환경"
RM_GPX_NEW_001,평화의공원 순환,False,8.0,28.0,,"힐링,스트레스해소,답답함해소,자연,개방감,조용함","대형 공원, 잔디·수변, 개방감"
RM_GPX_NEW_002,하늘공원 순환,False,10.0,32.0,,"스트레스해소,답답함해소,자연,개방감,성취도전,야경","하늘공원, 억새·전망, 탁 트인 조망"
RM_GPX_NEW_003,노을공원 순환,False,21.0,36.0,,"힐링,스트레스해소,자연,개방감,야경,성취도전","노을공원, 넓은 녹지, 석양·전망"
RM_GPX_NEW_004,월드컵공원 통합 순환,False,35.0,52.0,,"스트레스해소,자연,개방감,활력,성취도전,힐링","평화·하늘·노을공원 연계, 넓은 녹지"
RM_GPX_NEW_005,서울식물원 순환,False,4.0,6.0,,"힐링,우울위로,외로움위로,조용함,자연,기분전환","식물원·호수·녹지, 차분한 산책형 환경"
RM_GPX_NEW_006,선유도·한강 순환,False,10.0,15.0,,"스트레스해소,답답함해소,개방감,자연,힐링,야경","선유도공원과 한강 수변, 탁 트인 강변"
RM_GPX_NEW_007,노들섬·한강 순환,False,14.0,20.0,,"스트레스해소,답답함해소,개방감,활력,야경,기분전환","노들섬과 한강 수변, 도심·강변 조망"
RM_GPX_NEW_008,경춘선숲길 순환,False,5.0,9.0,,"힐링,조용함,자연,스트레스해소,외로움위로,기분전환","선형 숲길·철길공원, 나무가 많은 녹지"
